step,adv_reward/adv_reward_temperature
2000,5.0
4000,5.0
6000,5.0
8000,5.0
10000,5.0
12000,5.0
14000,5.0
16000,5.0
18000,5.0
20000,5.0
22000,5.0
24000,5.0
26000,5.0
28000,5.0
30000,5.0
32000,5.0
34000,5.0
36000,5.0
38000,5.0
40000,5.0
42000,5.0
44000,5.0
46000,5.0
48000,5.0
50000,5.0
52000,5.0
54000,5.0
56000,5.0
58000,5.0
60000,5.0
62000,5.0
64000,5.0
66000,5.0
68000,5.0
70000,5.0
72000,5.0
74000,5.0
76000,5.0
78000,5.0
80000,5.0
82000,5.0
84000,5.0
86000,5.0
88000,5.0
90000,5.0
92000,5.0
94000,5.0
96000,5.0
98000,5.0
100000,5.0
